title,date,days,tokens,stem,lemma,pos_tags,named_entities
Bayesian Estimation of G Train Wait Times,7 points by jamesdreiss 6 days ago  | discuss,6,"['bayesian', 'estimation', 'g', 'train', 'wait', 'times']",Bayesian Estimation of G Train Wait Tim,Bayesian Estimation of G Train Wait Times,"[('Bayesian', 'JJ'), ('Estimation', 'NNP'), ('of', 'IN'), ('G', 'NNP'), ('Train', 'NNP'), ('Wait', 'NNP'), ('Times', 'NNP')]",['Bayesian Estimation']
Announcing Apache Flink 1.0.0,11 points by mxm 8 days ago  | discuss,8,"['announcing', 'apache', 'flink', '1', '0', '0']",Announcing Apache Flink 1.0.0,Announcing Apache Flink 1.0.0,"[('Announcing', 'VBG'), ('Apache', 'NNP'), ('Flink', 'NNP'), ('1', 'CD'), ('.', '.'), ('0', 'CD'), ('.', '.'), ('0', 'CD')]",['Apache']
Train your own image classifier with Inception in TensorFlow,7 points by elyase 7 days ago  | discuss,7,"['train', 'image', 'classifier', 'inception', 'tensorflow']",Train your own image classifier with Inception in TensorFlow,Train your own image classifier with Inception in TensorFlow,"[('Train', 'VB'), ('your', 'PRP$'), ('own', 'JJ'), ('image', 'NN'), ('classifier', 'NN'), ('with', 'IN'), ('Inception', 'NNP'), ('in', 'IN'), ('TensorFlow', 'NNP')]",['TensorFlow']
Neural Doodles: Workflows for the Next Generation of Artists,5 points by pmigdal 6 days ago  | discuss,6,"['neural', 'doodles', 'workflows', 'next', 'generation', 'artists']",Neural Doodles: Workflows for the Next Generation of Artist,Neural Doodles: Workflows for the Next Generation of Artists,"[('Neural', 'JJ'), ('Doodles', 'NNS'), (':', ':'), ('Workflows', 'NNS'), ('for', 'IN'), ('the', 'DT'), ('Next', 'JJ'), ('Generation', 'NNP'), ('of', 'IN'), ('Artists', 'NNS')]",['Next Generation']
Question: What do you want to say about working with data?,2 points by emiller425 2 days ago  | discuss,2,"['question', 'want', 'say', 'working', 'data']",Question: What do you want to say about working with data?,Question: What do you want to say about working with data?,"[('Question', 'NN'), (':', ':'), ('What', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('want', 'VB'), ('to', 'TO'), ('say', 'VB'), ('about', 'IN'), ('working', 'VBG'), ('with', 'IN'), ('data', 'NNS'), ('?', '.')]",[]
Graph Databases 101,5 points by carlosgg 6 days ago  | discuss,6,"['graph', 'databases', '101']",Graph Databases 101,Graph Databases 101,"[('Graph', 'NNP'), ('Databases', 'VBZ'), ('101', 'CD')]",['Graph']
Statisticians Agree: It???s Time To Stop Misusing P-Value,9 points by jpiburn 9 days ago  | 5 comments,9,"['statisticians', 'agree', '???', 'time', 'stop', 'misusing', 'p', 'value']",Statisticians Agree: It???s Time To Stop Misusing P-Valu,Statisticians Agree: It???s Time To Stop Misusing P-Value,"[('Statisticians', 'NNS'), ('Agree', 'VBP'), (':', ':'), ('It', 'PRP'), ('???', 'VBZ'), ('s', 'JJ'), ('Time', 'NNP'), ('To', 'TO'), ('Stop', 'VB'), ('Misusing', 'NNP'), ('P', 'NNP'), ('-', ':'), ('Value', 'NN')]",[]
XGBoost: A Scalable Tree Boosting System article,5 points by tfturing 6 days ago  | discuss,6,"['xgboost', 'scalable', 'tree', 'boosting', 'system', 'article']",XGBoost: A Scalable Tree Boosting System articl,XGBoost: A Scalable Tree Boosting System article,"[('XGBoost', 'NN'), (':', ':'), ('A', 'DT'), ('Scalable', 'JJ'), ('Tree', 'NNP'), ('Boosting', 'NNP'), ('System', 'NNP'), ('article', 'NN')]",['XGBoost']
Top 50 Data Science thought leaders on Twitter,3 points by datawerq 5 days ago  | 3 comments,5,"['top', '50', 'data', 'science', 'thought', 'leaders', 'twitter']",Top 50 Data Science thought leaders on Twitt,Top 50 Data Science thought leaders on Twitter,"[('Top', 'JJ'), ('50', 'CD'), ('Data', 'NNP'), ('Science', 'NNP'), ('thought', 'VBD'), ('leaders', 'NNS'), ('on', 'IN'), ('Twitter', 'NN')]",[]
International Women's Day: What #PledgeForParity Means To Us,5 points by ddrum001 8 days ago  | discuss,8,"['international', 'women', 'day', '#', 'pledgeforparity', 'means', 'us']",International Women's Day: What #PledgeForParity Means To U,International Women's Day: What #PledgeForParity Means To Us,"[('International', 'NNP'), ('Women', 'NNP'), (""'"", 'POS'), ('s', 'JJ'), ('Day', 'NNP'), (':', ':'), ('What', 'WP'), ('#', '#'), ('PledgeForParity', 'NN'), ('Means', 'NNPS'), ('To', 'TO'), ('Us', 'VB')]","['International Women', 'PledgeForParity Means']"
Unsupervised Learning with Even Less Supervision Using Bayesian Optimization,2 points by idewanck 5 days ago  | discuss,5,"['unsupervised', 'learning', 'even', 'less', 'supervision', 'using', 'bayesian', 'optimization']",Unsupervised Learning with Even Less Supervision Using Bayesian Optim,Unsupervised Learning with Even Less Supervision Using Bayesian Optimization,"[('Unsupervised', 'VBN'), ('Learning', 'VBG'), ('with', 'IN'), ('Even', 'NNP'), ('Less', 'NNP'), ('Supervision', 'NNP'), ('Using', 'NNP'), ('Bayesian', 'NNP'), ('Optimization', 'NNP')]",['Even Less Supervision Using Bayesian']
Announcing R Tools for Visual Studio,3 points by brakmic 7 days ago  | discuss,7,"['announcing', 'r', 'tools', 'visual', 'studio']",Announcing R Tools for Visual Studio,Announcing R Tools for Visual Studio,"[('Announcing', 'VBG'), ('R', 'NNP'), ('Tools', 'NNP'), ('for', 'IN'), ('Visual', 'NNP'), ('Studio', 'NNP')]",['Visual Studio']
Genomic Ranges - an Introduction to Working with Genomic Data,3 points by AnnaOnTheWeb 7 days ago  | discuss,7,"['genomic', 'ranges', 'introduction', 'working', 'genomic', 'data']",Genomic Ranges - an Introduction to Working with Genomic Data,Genomic Ranges - an Introduction to Working with Genomic Data,"[('Genomic', 'NNP'), ('Ranges', 'NNP'), ('-', ':'), ('an', 'DT'), ('Introduction', 'NN'), ('to', 'TO'), ('Working', 'VBG'), ('with', 'IN'), ('Genomic', 'NNP'), ('Data', 'NNP')]","['Genomic Ranges', 'Genomic Data']"
Deriving Better Insights From Time Series Data With Cycle Plots,2 points by clevertap 5 days ago  | discuss,5,"['deriving', 'better', 'insights', 'time', 'series', 'data', 'cycle', 'plots']",Deriving Better Insights From Time Series Data With Cycle Plot,Deriving Better Insights From Time Series Data With Cycle Plots,"[('Deriving', 'VBG'), ('Better', 'NNP'), ('Insights', 'NNPS'), ('From', 'NNP'), ('Time', 'NNP'), ('Series', 'NNP'), ('Data', 'NNP'), ('With', 'IN'), ('Cycle', 'NNP'), ('Plots', 'NNP')]","['Better Insights From Time Series Data', 'Cycle Plots']"
DrivenData Competition: Model/Visualize Fog Patterns in Morocco,4 points by bull 9 days ago  | discuss,9,"['drivendata', 'competition', 'model', 'visualize', 'fog', 'patterns', 'morocco']",DrivenData Competition: Model/Visualize Fog Patterns in Morocco,DrivenData Competition: Model/Visualize Fog Patterns in Morocco,"[('DrivenData', 'NNP'), ('Competition', 'NN'), (':', ':'), ('Model', 'NNP'), ('/', 'NNP'), ('Visualize', 'NNP'), ('Fog', 'NNP'), ('Patterns', 'NNP'), ('in', 'IN'), ('Morocco', 'NNP')]","['DrivenData', 'Morocco']"
Introducing GraphFrames,7 points by falaki 13 days ago  | discuss,13,"['introducing', 'graphframes']",Introducing GraphFram,Introducing GraphFrames,"[('Introducing', 'VBG'), ('GraphFrames', 'NNS')]",[]
Ask DT: Who Is Hiring? (March 2016),27 points by whoishiring 15 days ago  | 15 comments,15,"['ask', 'dt', 'hiring', 'march', '2016']",Ask DT: Who Is Hiring? (March 2016),Ask DT: Who Is Hiring? (March 2016),"[('Ask', 'NNP'), ('DT', 'NNP'), (':', ':'), ('Who', 'WP'), ('Is', 'VBZ'), ('Hiring', 'VBG'), ('?', '.'), ('(', '('), ('March', 'NNP'), ('2016', 'CD'), (')', ')')]",['Ask']
Deep Learning: Nine Lectures at Coll??ge de France by Yan LeCun,5 points by Anon84 11 days ago  | discuss,11,"['deep', 'learning', 'nine', 'lectures', 'coll', '??', 'ge', 'de', 'france', 'yan', 'lecun']",Deep Learning: Nine Lectures at Coll??ge de France by Yan LeCun,Deep Learning: Nine Lectures at Coll??ge de France by Yan LeCun,"[('Deep', 'JJ'), ('Learning', 'NNP'), (':', ':'), ('Nine', 'JJ'), ('Lectures', 'NNS'), ('at', 'IN'), ('Coll', 'NNP'), ('??', 'NNP'), ('ge', 'FW'), ('de', 'FW'), ('France', 'NNP'), ('by', 'IN'), ('Yan', 'NNP'), ('LeCun', 'NNP')]","['Deep', 'Coll', 'Yan']"
TensorFlow for Poets,9 points by ebellm 15 days ago  | 1 comment,15,"['tensorflow', 'poets']",TensorFlow for Poet,TensorFlow for Poets,"[('TensorFlow', 'NNP'), ('for', 'IN'), ('Poets', 'NNS')]",['TensorFlow']
How to work with large JSON datasets using Python and Pandas,9 points by brian_spiering 15 days ago  | discuss,15,"['work', 'large', 'json', 'datasets', 'using', 'python', 'pandas']",How to work with large JSON datasets using Python and Panda,How to work with large JSON datasets using Python and Pandas,"[('How', 'WRB'), ('to', 'TO'), ('work', 'VB'), ('with', 'IN'), ('large', 'JJ'), ('JSON', 'NNP'), ('datasets', 'NNS'), ('using', 'VBG'), ('Python', 'NNP'), ('and', 'CC'), ('Pandas', 'NNP')]","['JSON', 'Python', 'Pandas']"
SQL for Data Analysis,3 points by nickhould 8 days ago  | 6 comments,8,"['sql', 'data', 'analysis']",SQL for Data Analysi,SQL for Data Analysis,"[('SQL', 'NNP'), ('for', 'IN'), ('Data', 'NNP'), ('Analysis', 'NNP')]","['SQL', 'Data Analysis']"
Stream processing and messaging systems for the IoT age,2 points by gradientflow 6 days ago  | discuss,6,"['stream', 'processing', 'messaging', 'systems', 'iot', 'age']",Stream processing and messaging systems for the IoT ag,Stream processing and messaging systems for the IoT age,"[('Stream', 'NN'), ('processing', 'NN'), ('and', 'CC'), ('messaging', 'VBG'), ('systems', 'NNS'), ('for', 'IN'), ('the', 'DT'), ('IoT', 'NNP'), ('age', 'NN')]","['Stream', 'IoT']"
Optimizing Facebook Campaigns with R,2 points by AnnaOnTheWeb 6 days ago  | 1 comment,6,"['optimizing', 'facebook', 'campaigns', 'r']",Optimizing Facebook Campaigns with R,Optimizing Facebook Campaigns with R,"[('Optimizing', 'VBG'), ('Facebook', 'NNP'), ('Campaigns', 'NNP'), ('with', 'IN'), ('R', 'NNP')]",['Facebook Campaigns']
"Trump Tweets on a Globe (aka Fun with d3, socket.io, and the Twitter API)",8 points by joelgrus 15 days ago  | discuss,15,"['trump', 'tweets', 'globe', 'aka', 'fun', 'd3', 'socket', 'io', 'twitter', 'api']","Trump Tweets on a Globe (aka Fun with d3, socket.io, and the Twitter API)","Trump Tweets on a Globe (aka Fun with d3, socket.io, and the Twitter API)","[('Trump', 'NNP'), ('Tweets', 'NNP'), ('on', 'IN'), ('a', 'DT'), ('Globe', 'NNP'), ('(', '('), ('aka', 'JJ'), ('Fun', 'NNP'), ('with', 'IN'), ('d3', 'NN'), (',', ','), ('socket', 'NN'), ('.', '.'), ('io', 'NN'), (',', ','), ('and', 'CC'), ('the', 'DT'), ('Twitter', 'NNP'), ('API', 'NNP'), (')', ')')]","['Trump Tweets', 'Twitter']"
Why pandas users should be excited about Apache Arrow,17 points by pmigdal 23 days ago  | discuss,23,"['pandas', 'users', 'excited', 'apache', 'arrow']",Why pandas users should be excited about Apache Arrow,Why pandas users should be excited about Apache Arrow,"[('Why', 'WRB'), ('pandas', 'JJ'), ('users', 'NNS'), ('should', 'MD'), ('be', 'VB'), ('excited', 'VBN'), ('about', 'IN'), ('Apache', 'NNP'), ('Arrow', 'NNP')]",['Apache Arrow']
Histogram intersection for change detection,8 points by datadive 16 days ago  | discuss,16,"['histogram', 'intersection', 'change', 'detection']",Histogram intersection for change detect,Histogram intersection for change detection,"[('Histogram', 'NNP'), ('intersection', 'NN'), ('for', 'IN'), ('change', 'NN'), ('detection', 'NN')]",['Histogram']
A simpler way to merge data streams,2 points by apoverton 7 days ago  | discuss,7,"['simpler', 'way', 'merge', 'data', 'streams']",A simpler way to merge data stream,A simpler way to merge data streams,"[('A', 'DT'), ('simpler', 'JJ'), ('way', 'NN'), ('to', 'TO'), ('merge', 'VB'), ('data', 'NNS'), ('streams', 'NNS')]",[]
Distributed TensorFlow just open-sourced,10 points by elyase 19 days ago  | discuss,19,"['distributed', 'tensorflow', 'open', 'sourced']",Distributed TensorFlow just open-sourc,Distributed TensorFlow just open-sourced,"[('Distributed', 'VBN'), ('TensorFlow', 'NNP'), ('just', 'RB'), ('open', 'VB'), ('-', ':'), ('sourced', 'VBN')]",['TensorFlow']
D3.js Screencasts (1 in 3 are free),4 points by Veerle 12 days ago  | discuss,12,"['d3', 'js', 'screencasts', '1', '3', 'free']",D3.js Screencasts (1 in 3 are free),D3.js Screencasts (1 in 3 are free),"[('D3', 'NNP'), ('.', '.'), ('js', 'NN'), ('Screencasts', 'NNS'), ('(', '('), ('1', 'CD'), ('in', 'IN'), ('3', 'CD'), ('are', 'VBP'), ('free', 'JJ'), (')', ')')]",[]
Regression and Classification with Examples in R,5 points by soates 14 days ago  | discuss,14,"['regression', 'classification', 'examples', 'r']",Regression and Classification with Examples in R,Regression and Classification with Examples in R,"[('Regression', 'NN'), ('and', 'CC'), ('Classification', 'NN'), ('with', 'IN'), ('Examples', 'NNP'), ('in', 'IN'), ('R', 'NNP')]","['Regression', 'Examples']"
